b0,f_V,dt_excess_Myr,destroyed
0.11,0.33599999999999997,0.0,1.0
0.112,0.33599999999999997,0.0,1.0
0.114,0.33599999999999997,0.0,1.0
0.116,0.33599999999999997,0.0,1.0
0.11800000000000001,0.33599999999999997,0.0,1.0
0.12,0.33599999999999997,0.0,1.0
0.122,0.33599999999999997,0.0,1.0
0.124,0.33599999999999997,0.0,1.0
0.126,0.33599999999999997,0.0,1.0
0.128,0.33599999999999997,0.0,1.0
0.13,0.33599999999999997,0.0,1.0
0.132,0.33599999999999997,0.0,1.0
0.134,0.33599999999999997,0.0,1.0
0.136,0.33599999999999997,0.0,1.0
0.138,0.33599999999999997,0.0,1.0
0.14,0.33599999999999997,0.0,1.0
0.14200000000000002,0.33599999999999997,0.0,1.0
0.14400000000000002,0.33599999999999997,0.0,1.0
0.146,0.33599999999999997,0.0,1.0
0.148,0.33599999999999997,0.0,1.0
0.15,0.33599999999999997,0.0,1.0
0.152,0.33599999999999997,0.0,1.0
0.154,0.33599999999999997,0.0,1.0
0.156,0.33599999999999997,0.0,1.0
0.158,0.33599999999999997,0.0,1.0
0.16,0.33599999999999997,0.0,1.0
0.162,0.33599999999999997,0.0,1.0
0.164,0.33599999999999997,0.0,1.0
0.166,0.33599999999999997,0.0,1.0
0.168,0.33599999999999997,0.0,1.0
0.17,0.33599999999999997,0.0,1.0
0.17200000000000001,0.33599999999999997,0.0,1.0
0.17400000000000002,0.33599999999999997,0.0,1.0
0.176,0.33599999999999997,0.0,1.0
0.178,0.33599999999999997,0.0,1.0
0.18,0.33599999999999997,0.0,1.0
0.182,0.33599999999999997,0.0,1.0
0.184,0.33599999999999997,0.0,1.0
0.186,0.33599999999999997,0.0,1.0
0.188,0.33599999999999997,0.0,1.0
0.19,0.33599999999999997,0.0,1.0
0.192,0.33599999999999997,0.0,1.0
0.194,0.33599999999999997,0.0,1.0
0.196,0.33599999999999997,0.0,1.0
0.198,0.33599999999999997,0.0,1.0
0.2,0.33599999999999997,0.0,1.0
0.0,0.34199999999999997,-0.0,1.0
0.002,0.34199999999999997,0.0,1.0
0.004,0.34199999999999997,0.0,1.0
0.006,0.34199999999999997,0.0,1.0
0.008,0.34199999999999997,0.0,1.0
0.01,0.34199999999999997,0.0,1.0
0.012,0.34199999999999997,0.0,1.0
0.014,0.34199999999999997,0.0,1.0
0.016,0.34199999999999997,0.0,1.0
