t_Gyr,a_D
-43.423355838959736,175.6940829562702
-43.39834958739685,179.40926266904287
-43.37334333583396,183.20299855295949
-43.348337084271066,187.07695176015926
-43.32333083270818,191.0328186017614
-43.29832458114529,195.0723311953886
-43.273318329582395,199.19725827841324
-43.2483120780195,203.4094059792562
-43.22330582645662,207.71061860424066
-43.198299574893724,212.10277944024952
-43.17329332333083,216.58781158858753
-43.14828707176794,221.1676789507134
-43.12328082020505,225.84438690086304
-43.09827456864216,230.6199831831958
-43.07326831707927,235.49655883355328
-43.048262065516376,240.47624909100315
-43.02325581395349,245.56123432773322
-42.9982495623906,250.75374099758784
-42.973243310827705,256.0560426727926
-42.94823705926481,261.47046113435886
-42.92323080770193,266.9993671504888
-42.898224556139034,272.64518160677056
-42.87321830457614,278.4103765678583
-42.848212053013256,284.29747635474877
-42.823205801450364,290.30905864371596
-42.79819954988747,296.44775558897436
-42.77319329832458,302.71625514655074
-42.74818704676169,309.11730213003557
-42.7231807951988,315.6536993062167
-42.69817454363591,322.3283086972208
-42.673168292073015,329.14405282847355
-42.64816204051013,336.10391600181777
-42.62315578894724,343.2109455941918
-42.598149537384344,350.4682534182394
-42.57314328582146,357.87901730908567
-42.548137034258566,365.44648218847055
-42.523130782695674,373.1739615488642
-42.49812453113278,381.0648389339681
-42.47311827956989,389.12256941357964
-42.448112028007,397.35068108814994
-42.42310577644411,405.7527766234894
-42.39809952488122,414.33253495514424
-42.37309327331833,423.0937129965892
-42.34808702175544,432.0401469307329
-42.32308077019255,441.17575404161414
-42.298074518629655,450.50453442711415
-42.27306826706677,460.03057274197045
-42.248062015503876,469.7580399758351
-42.223055763940984,479.69119527499686
-42.19804951237809,489.8343881085606
-42.173043260815206,500.19205989809643
-42.14803700925231,510.7687458612247
-42.12303075768942,521.569077097786
-42.098024506126535,532.5977826090423
-42.07301825456364,543.859691357587
-42.04801200300075,555.3597343685453
-42.02300575143786,567.1029469534151
-41.997999499874965,579.0944712510122
-41.97299324831208,591.3395579273393
-41.94798699674919,603.843568619604
-41.922980745186294,616.6119783161405
-41.89797449362341,629.6503777427563
-41.872968242060516,642.9644757971005
-41.84796199049762,656.5601020317417
-41.82295573893474,670.4432094609074
-41.797949487371845,684.6198772149477
-41.77294323580895,699.0963127062664
-41.74793698424606,713.8788545835893
-41.72293073268317,728.9739754980592
-41.69792448112028,744.3882849234307
-41.67291822955739,760.128532032937
-41.6479119779945,776.2016086599447
-41.62290572643161,792.6145528263041
-41.59789947486872,809.3745512720519
-41.572893223305826,826.4889425414333
-41.54788697174293,843.9652203273828
-41.52288072018004,861.811036738582
-41.497874468617155,880.0342056323555
-41.47286821705426,898.6427060144208
-41.44786196549137,917.644685679654
-41.422855713928485,937.0484652582622
-41.39784946236559,956.8625409598235
-41.3728432108027,977.0955885797739
-41.347836959239814,997.7564673288417
-41.32283070767692,1018.8542236941555
-41.29782445611403,1040.39809537797
-41.272818204551136,1062.3975153152833
-41.24781195298824,1084.8621163034709
-41.22280570142536,1107.801735088796
-41.197799449862465,1131.226416035742
-41.17279319829957,1155.1464158672745
-41.14778694673669,1179.5722081376703
-41.122780695173795,1204.5144877956081
-41.0977744436109,1229.9841758388202
-41.07276819204801,1255.9924241334725
-41.04776194048512,1282.550621134615
-41.02275568892223,1309.6703958398855
-40.99774943735934,1337.363622930077
-40.972743185796446,1365.642428134557
-40.94773693423356,1394.5191935174103
-40.92273068267067,1424.0065628700715
-40.897724431107775,1454.1174472119635
-40.87271817954489,1484.8650307612334
-40.847711927982,1516.2627773385557
-40.822705676419105,1548.324434845642
-40.79769942485621,1581.0640418034666
-40.77269317329332,1614.4959335200826
-40.747686921730434,1648.6347483378563
-40.72268067016754,1683.4954340063691
-40.69767441860465,1719.0932541874417
-40.67266816704176,1755.4437960804255
-40.64766191547887,1792.562976691468
-40.62265566391598,1830.4670490594453
-40.597649412353086,1869.1726098440486
-40.57264316079019,1908.696606562813
-40.54763690922731,1949.056344974134
-40.522630657664415,1990.269496608524
-40.49762440610152,2032.3541066261928
-40.47261815453864,2075.3286030470085
-40.447611902975744,2119.2118029797557
-40.42260565141285,2164.022921144468
-40.397599399849966,2209.7815784868476
-40.37259314828707,2256.507810731272
-40.34758689672418,2304.2220771058996
-40.32258064516129,2352.945269242713
-40.297574393598396,2402.6987209857157
-40.27256814203551,2453.5042184577237
-40.24756189047262,2505.384007452196
-40.222555638909725,2558.3608040534064
-40.19754938734684,2612.457804581197
-40.17254313578395,2667.6986956990586
-40.147536884221054,2724.107664725245
-40.12253063265816,2781.709410181039
-40.09752438109527,2840.529154293788
-40.072518129532384,2900.592652652586
-40.04751187796949,2961.926204711566
-40.0225056264066,3024.556665943197
-39.99749937484371,3088.5114595479167
-39.97249312328082,3153.818588399881
-39.94748687171793,3220.506647232217
-39.92248062015504,3288.6048354697195
-39.89747436859215,3358.142972045998
-39.87246811702926,3429.151505308079
-39.847461865466364,3501.6615270808093
-39.82245561390347,3575.7047865090394
-39.797449362340586,3651.3137038963173
-39.772443110777694,3728.5213848222393
-39.7474368592148,3807.3616345422975
-39.722430607651916,3887.868974127154
-39.69742435608902,3970.0786561678574
-39.67241810452613,4054.026677110561
-39.64741185296324,4139.749794425184
-39.62240560140035,4227.2855426577735
-39.59739934983746,4316.672249785388
-39.57239309827457,4407.949053899324
-39.547386846711674,4501.1559203355755
-39.52238059514879,4596.333662083788
-39.497374343585896,4693.523954734146
-39.472368092023004,4792.769354101397
-39.44736184046012,4894.1133157025
-39.422355588897226,4997.600213702899
-39.39734933733433,5103.275360244399
-39.37234308577144,5211.185025160967
-39.34733683420855,5321.376456971367
-39.32233058264566,5433.897906537095
-39.29732433108277,5548.798642971442
-39.27231807951988,5666.128976744351
-39.24731182795699,5785.940281945216
-39.2223055763941,5908.285018674051
-39.19729932483121,6033.216755882855
-39.17229307326832,6160.790194674533
-39.14728682170543,6291.0611949038675
-39.122280570142536,6424.086799466038
-39.09727431857964,6559.925255096586
-39.07226806701675,6698.636039987126
-39.047261815453865,6840.279889727288
-39.02225556389097,6984.918823766856
-38.99724931232808,7132.616172408972
-38.972243060765194,7283.436604673836
-38.9472368092023,7437.446161460559
-38.92223055763941,7594.7122788292745
-38.89722430607652,7755.303817425585
-38.872218054513624,7919.291093717413
-38.84721180295074,8086.745910649968
-38.822205551387846,8257.741588918589
-38.79719929982495,8432.352998868013
-38.77219304826207,8610.656594892076
-38.747186796699175,8792.73045298711
-38.72218054513628,8978.654296581903
-38.6971742935734,9168.509534323557
-38.672168042010505,9362.379295917874
-38.64716179044761,9560.348468357774
-38.62215553888472,9762.503732880903
-38.59714928732183,9968.933602674235
-38.57214303575894,10179.728466750725
-38.54713678419605,10394.980627209945
-38.522130532633156,10614.784334572858
-38.49712428107027,10839.2358320053
-38.47211802950738,11068.433397286832
-38.447111777944485,11302.477385625745
-38.42210552638159,11541.470273334246
-38.3970992748187,11785.516703223333
-38.372093023255815,12034.723538231596
-38.34708677169292,12289.199897964252
-38.32208052013003,12549.057207582026
-38.297074268567144,12814.409247934384
-38.27206801700425,13085.372205159705
-38.24706176544136,13362.064721283708
-38.22205551387847,13644.607945832471
-38.19704926231558,13933.12559229675
-38.17204301075269,14227.743997358892
-38.147036759189795,14528.592163302132
-38.1220305076269,14835.801819522072
-38.09702425606402,15149.507480284423
-38.072018004501125,15469.84650334347
-38.04701175293823,15796.959149738097
-38.02200550137535,16130.988644888763
-37.996999249812454,16472.081250693383
-37.97199299824956,16820.38632280065
-37.94698674668667,17176.056370379105
-37.921980495123776,17539.247126928178
-37.89697424356089,17910.117618183656
-37.871967991998,18288.83023139323
-37.846961740435106,18675.550785981075
-37.82195548887222,19070.448607626637
-37.79694923730933,19473.696614565462
-37.771942985746435,19885.471375429708
-37.74693673418355,20305.95319010275
-37.72193048262066,20735.32617024449
-37.696924231057764,21173.77831954353
-37.67191797949487,21621.501615586112
-37.64691172793198,22078.692093364374
-37.62190547636909,22545.549938113665
-37.5968992248062,23022.27957805518
-37.57189297324331,23509.08975480315
-37.54688672168042,24006.193623029998
-37.52188047011753,24513.80884364758
-37.49687421855464,25032.157678650394
-37.471867966991745,25561.467087866095
-37.44686171542885,26101.968828105277
-37.42185546386597,26653.89957109425
-37.396849212303074,27217.5009919113
-37.37184296074018,27793.01986952442
-37.346836709177296,28380.708200242912
-37.3218304576144,28980.823307589617
-37.29682420605151,29593.627954386608
-37.271817954488625,30219.390457090693
-37.24681170292573,30858.384806881906
-37.22180545136284,31510.890807812844
-37.19679919979995,32177.19416926426
-37.171792948237055,32857.58663905583
-37.14678669667417,33552.366132899966
-37.12178044511128,34261.836864251934
-37.096774193548384,34986.30947677104
-37.0717679419855,35726.1011794357
-37.046761690422606,36481.5358994413
-37.021755438859714,37252.94442624013
-36.99674918729682,38040.66452969778
-36.971742935733936,38845.04112078703
-36.94673668417104,39666.42640209146
-36.92173043260815,40505.18002126158
-36.89672418104526,41361.66922755565
-36.87171792948237,42236.26903299283
-36.84671167791948,43129.36240439385
-36.82170542635659,44041.340400709625
-36.7966991747937,44972.60234126737
-36.77169292323081,45923.55598765756
-36.746686671667916,46894.61772150538
-36.721680420105024,47886.21272582734
-36.69667416854213,48898.77517002269
-36.671667916979246,49932.74840813597
-36.64666166541635,50988.585198767854
-36.62165541385346,52066.747854417394
-36.596649162290575,53167.70845963505
-36.57164291072768,54291.9490793324
-36.54663665916479,55439.961968876625
-36.521630407601904,56612.24978841393
-36.49662415603901,57809.32582148329
-36.47161790447612,59031.71422723716
-36.44661165291323,60279.95026206257
-36.421605401350334,61554.58047985735
-36.39659914978745,62856.16298979449
-36.371592898224556,64185.26769970596
-36.34658664666166,65542.47656437411
-36.32158039509878,66928.38383881185
-36.296574143535885,68343.59634061303
-36.27156789197299,69788.73376121245
-36.2465616404101,71264.42888062204
-36.22155538884721,72771.32784760032
-36.19654913728432,74310.09047146223
-36.17154288572143,75881.39050971852
-36.14653663415854,77485.91596150491
-36.12153038259565,79124.36936689602
-36.09652413103276,80797.46813208103
-36.071517879469866,82505.94487727105
-36.04651162790698,84250.54768061348
-36.02150537634409,86032.04043409385
-35.996499124781195,87851.20317906505
-35.9714928732183,89708.83244618522
-35.94648662165541,91605.74160218838
-35.921480370092524,93542.76120388179
-35.89647411852963,95520.73941345814
-35.87146786696674,97540.54233855696
-35.846461615403854,99603.05437196571
-35.82145536384096,101709.17860425264
-35.79644911227807,103859.83721755771
-35.771442860715176,106055.97188733301
-35.74643660915228,108298.54419214324
-35.7214303575894,110588.53604145201
-35.696424106026505,112926.95017769284
-35.67141785446361,115314.81051476698
-35.64641160290073,117753.16260240208
-35.621405351337835,120243.07409468594
-35.59639909977494,122785.63521546136
-35.57139284821206,125381.95923309783
-35.546386596649164,128033.1829447753
-35.52138034508627,130740.46721070477
-35.49637409352338,133504.99750081034
-35.471367841960486,136327.98429757607
-35.4463615903976,139210.66367398284
-35.42135533883471,142154.2978345444
-35.396349087271815,145160.1756653183
-35.37134283570893,148229.61329497918
-35.34633658414604,151363.95466889357
-35.321330332583145,154564.57222990697
-35.29632408102025,157832.86744224955
-35.27131782945736,161170.27136441352
-35.246311577894474,164578.2453100665
-35.22130532633158,168058.28148521803
-35.19629907476869,171611.9036382234
-35.1712928232058,175240.66772283718
-35.14628657164291,178946.16259692388
-35.12128032008002,182730.01082817957
-35.09627406851713,186593.8692326862
-35.07126781695424,190539.42964101862
-35.04626156539135,194568.41965114817
-35.021255313828455,198682.60338146336
-34.99624906226556,202883.78223894167
-34.97124281070268,207173.79570270423
-34.946236559139784,211554.52220316732
-34.92123030757689,216027.87997447993
-34.896224056014006,220595.82772721292
-34.87121780445111,225260.36558237
-34.84621155288822,230023.53594475825
-34.82120530132533,234887.424392918
-34.796199049762436,239854.1605869261
-34.77119279819955,244925.91920077952
-34.74618654663666,250104.9210333661
-34.721180295073765,255393.43381972463
-34.69617404351088,260793.77319202264
-34.67116779194799,266308.3037388139
-34.646161540385094,271939.44003596227
-34.62115528882221,277689.64769835735
-34.596149037259316,283561.44445272314
-34.57114278569642,289557.4012807273
-34.54613653413353,295680.1437050255
-34.52113028257064,301932.352654835
-34.49612403100775,308316.7657241507
-34.47111777944486,314836.1783827426
-34.44611152788197,321493.4451945267
-34.42110527631908,328291.48106046487
-34.39609902475619,335233.2624863457
-34.3710927731933,342321.82903193973
-34.346086521630404,349560.2846285935
-34.32108027006752,356951.79871424736
-34.296074018504626,364499.6077353269
-34.271067766941734,372207.01655828365
-34.24606151537884,380077.3999094992
-34.221055263815956,388114.20384409395
-34.19604901225306,396320.9472626659
-34.17104276069017,404701.22371592326
-34.146036509127285,413258.70266892586
-34.12103025756439,421997.13110499433
-34.0960240060015,430920.3352245328
-34.07101775443861,440032.222113093
-34.046011502875714,449336.7814430332
-34.02100525131283,458838.0872092886
-33.995998999749936,468540.299602744
-33.970992748187044,478447.6670508316
-33.94598649662416,488564.5276238634
-33.920980245061266,498895.31109214283
-33.89597399349837,509444.5408756103
-33.87096774193549,520216.8360151949
-33.84596149037259,531216.9131838151
-33.8209552388097,542449.5887380962
-33.79594898724681,553919.7811084676
-33.77094273568392,565632.5128200435
-33.74593648412103,577592.9124208988
-33.72093023255814,589806.2168868652
-33.695923980995246,602277.7739051825
-33.67091772943236,615013.0442042544
-33.64591147786947,628017.6039301738
-33.620905226306576,641297.1471179815
-33.59589897474369,654857.4886092747
-33.57089272318079,668704.5660372643
-33.545886471617905,682844.4424908955
-33.52088022005501,697283.3092415467
-33.49587396849212,712027.4884419045
-33.470867716929234,727083.4358792537
-33.44586146536634,742457.7437839324
-33.42085521380345,758157.1439045962
-33.395848962240564,774188.5107252626
-33.370842710677664,790558.8637758623
-33.34583645911478,807275.3709800052
-33.320830207551886,824345.3517972066
-33.29582395598899,841776.2804124664
-33.27081770442611,859575.7889900404
-33.245811452863215,877751.6709984185
-33.22080520130032,896311.885136412
-33.19579894973744,915264.5584403268
-33.170792698174544,934617.9895444564
-33.14578644661165,954380.6525317642
-33.120780195048766,974561.2006288994
-33.09577394348587,995168.4699757363
-33.07076769192298,1016211.4834704687
-33.04576144036009,1037699.454802897
-33.020755188797196,1059641.7931479542
-32.99574893723431,1082048.106309841
-32.97074268567142,1104928.2051268658
-32.945736434108525,1128292.1078512375
-32.92073018254564,1152150.044515943
-32.89572393098274,1176512.4613895451
-32.870717679419855,1201390.0255201042
-32.84571142785696,1226793.6297921427
-32.82070517629407,1252734.3979616486
-32.795698924731184,1279223.6884946586
-32.77069267316829,1306273.0999900282
-32.7456864216054,1333894.47624899
-32.72068017004251,1362099.9114359955
-32.69567391847962,1390901.7553432644
-32.67066766691673,1420312.618787106
-32.64566141535384,1450345.380028466
-32.62065516379094,1481013.1895721706
-32.59564891222806,1512329.475649587
-32.570642660665165,1544307.9503884658
-32.54563640910227,1576962.6157913767
-32.52063015753939,1610307.7698347988
-32.495623905976494,1644358.0126905418
-32.4706176544136,1679128.253319004
-32.445611402850716,1714633.7169802384
-32.420605151287816,1750889.950262751
-32.39559889972493,1787912.8283330668
-32.37059264816204,1825718.5619773953
-32.345586396599145,1864323.7046671035
-32.32058014503626,1903745.1597665276
-32.29557389347337,1944000.1878850856
-32.270567641910475,1985106.4152063844
-32.24556139034759,2027081.841304224
-32.2205551387847,2069944.8455884345
-32.195548887221804,2113714.196045476
-32.17054263565892,2158409.057427333
-32.14553638409602,2204048.999601762
-32.12053013253313,2250654.006070066
-32.09552388097024,2298244.4827391305
-32.07051762940735,2346841.268373397
-32.04551137784446,2396465.6420504097
-32.02050512628157,2447139.332333096
-31.995498874718677,2498884.527161465
-31.97049262315579,2551723.8835259555
-31.945486371592896,2605680.537335679
-31.920480120030007,2660778.113484455
-31.895473868467118,2717040.736647514
-31.870467616904225,2774493.0432333495
-31.845461365341336,2833160.189512112
-31.820455113778443,2893067.863493701
-31.795448862215554,2954242.296259109
-31.770442610652662,3016710.2733926233
-31.745436359089773,3080499.1466438384
-31.72043010752688,3145636.845823357
-31.69542385596399,3212151.892543564
-31.6704176044011,3280073.4122377275
-31.64541135283821,3349431.145091072
-31.620405101275317,3420255.4600574384
-31.595398849712428,3492577.3681025505
-31.570392598149535,3566428.535714682
-31.545386346586646,3641841.298686427
-31.520380095023754,3718848.6763962847
-31.495373843460865,3797484.388744707
-31.470367591897972,3877782.8678172603
-31.445361340335083,3959779.2731540953
-31.420355088772194,4043509.5076206955
-31.3953488372093,4129010.233059289
-31.370342585646412,4216318.886255521
-31.34533633408352,4305473.69522526
-31.32033008252063,4396513.696924088
-31.295323830957738,4489478.756148509
-31.27031757939485,4584409.578820491
-31.245311327831956,4681347.731360325
