t_Myr,M_base_Msun,M_rB_up20,M_rB_down20,M_lambdaEdd4
1.463463463463463565e+00,1.107597597597597726e+07,1.327117117117117345e+07,8.880780780780782923e+06,1.473463463463464007e+07
1.480480480480480532e+00,1.120360360360360518e+07,1.342432432432432473e+07,8.982882882882883772e+06,1.490480480480480753e+07
1.497497497497497720e+00,1.133123123123123311e+07,1.357747747747747973e+07,9.084984984984986484e+06,1.507497497497498058e+07
1.514514514514514687e+00,1.145885885885886103e+07,1.373063063063063286e+07,9.187087087087089196e+06,1.524514514514514990e+07
1.531531531531531654e+00,1.158648648648648709e+07,1.388378378378378600e+07,9.289189189189191908e+06,1.541531531531531923e+07
1.548548548548548620e+00,1.171411411411411501e+07,1.403693693693693914e+07,9.391291291291292757e+06,1.558548548548549041e+07
1.565565565565565809e+00,1.184174174174174480e+07,1.419009009009009227e+07,9.493393393393395469e+06,1.575565565565566160e+07
1.582582582582582775e+00,1.196936936936937086e+07,1.434324324324324541e+07,9.595495495495498180e+06,1.592582582582583092e+07
1.599599599599599742e+00,1.209699699699699879e+07,1.449639639639639854e+07,9.697597597597599030e+06,1.609599599599600025e+07
1.616616616616616708e+00,1.222462462462462671e+07,1.464954954954955168e+07,9.799699699699701741e+06,1.626616616616617143e+07
1.633633633633633675e+00,1.235225225225225277e+07,1.480270270270270482e+07,9.901801801801802590e+06,1.643633633633634076e+07
1.650650650650650864e+00,1.247987987987988256e+07,1.495585585585585795e+07,1.000390390390390716e+07,1.660650650650651380e+07
1.667667667667667830e+00,1.260750750750750862e+07,1.510900900900901109e+07,1.010600600600600801e+07,1.677667667667668127e+07
1.684684684684684797e+00,1.273513513513513654e+07,1.526216216216216423e+07,1.020810810810811073e+07,1.694684684684685245e+07
1.701701701701701763e+00,1.286276276276276447e+07,1.541531531531531736e+07,1.031021021021021158e+07,1.711701701701702178e+07
1.718718718718718952e+00,1.299039039039039239e+07,1.556846846846847236e+07,1.041231231231231429e+07,1.728718718718719482e+07
1.735735735735735918e+00,1.311801801801802032e+07,1.572162162162162364e+07,1.051441441441441700e+07,1.745735735735736415e+07
1.752752752752752885e+00,1.324564564564564638e+07,1.587477477477477677e+07,1.061651651651651785e+07,1.762752752752753347e+07
1.769769769769769852e+00,1.337327327327327430e+07,1.602792792792792991e+07,1.071861861861862056e+07,1.779769769769770280e+07
1.786786786786787040e+00,1.350090090090090409e+07,1.618108108108108491e+07,1.082072072072072327e+07,1.796786786786787212e+07
1.803803803803804007e+00,1.362852852852853201e+07,1.633423423423423618e+07,1.092282282282282598e+07,1.813803803803804517e+07
